"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 1",1,0,2749558,1,4,"__amd_rocclr_fillBufferAligned",1,386948186805893,386948186810213,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,2,22,"(anonymous namespace)::reduce_v0_atomic(float const*, float*, unsigned long)",2,386948187582311,386948190386658,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,3,9,"__amd_rocclr_copyBuffer",3,386948190480500,386948190484820,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,4,4,"__amd_rocclr_fillBufferAligned",4,386948190542022,386948190545022,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,5,22,"(anonymous namespace)::reduce_v0_atomic(float const*, float*, unsigned long)",5,386948190555222,386948192721914,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,6,4,"__amd_rocclr_fillBufferAligned",6,386948192740274,386948192743154,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,7,22,"(anonymous namespace)::reduce_v0_atomic(float const*, float*, unsigned long)",7,386948192752514,386948194919206,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,8,4,"__amd_rocclr_fillBufferAligned",8,386948194937167,386948194939767,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,9,22,"(anonymous namespace)::reduce_v0_atomic(float const*, float*, unsigned long)",9,386948194949281,386948197116088,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,10,4,"__amd_rocclr_fillBufferAligned",10,386948197133928,386948197136888,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,11,22,"(anonymous namespace)::reduce_v0_atomic(float const*, float*, unsigned long)",11,386948197146168,386948199312975,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,12,4,"__amd_rocclr_fillBufferAligned",12,386948199330896,386948199333536,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,13,22,"(anonymous namespace)::reduce_v0_atomic(float const*, float*, unsigned long)",13,386948199342776,386948201509544,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,14,4,"__amd_rocclr_fillBufferAligned",14,386948201527784,386948201530344,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,15,22,"(anonymous namespace)::reduce_v0_atomic(float const*, float*, unsigned long)",15,386948201539784,386948203706632,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,16,4,"__amd_rocclr_fillBufferAligned",16,386948203724592,386948203727432,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,17,22,"(anonymous namespace)::reduce_v0_atomic(float const*, float*, unsigned long)",17,386948203736633,386948205906280,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,18,4,"__amd_rocclr_fillBufferAligned",18,386948205924041,386948205926961,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,19,22,"(anonymous namespace)::reduce_v0_atomic(float const*, float*, unsigned long)",19,386948205936281,386948208103049,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,20,4,"__amd_rocclr_fillBufferAligned",20,386948208121089,386948208123729,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,21,22,"(anonymous namespace)::reduce_v0_atomic(float const*, float*, unsigned long)",21,386948208132943,386948210299591,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,22,4,"__amd_rocclr_fillBufferAligned",22,386948210317431,386948210320351,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,23,22,"(anonymous namespace)::reduce_v0_atomic(float const*, float*, unsigned long)",23,386948210329431,386948212496039,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2749558,24,9,"__amd_rocclr_copyBuffer",24,386948212588841,386948212592361,0,0,16,0,128,512,1,1,512,1,1
