backend,implementation,size,grid,block,stages,event_minimum_ms,event_median_ms,event_mean_ms,correct,independent_run_count,event_median_ms_min,event_median_ms_max,useful_ai_flop_per_byte,useful_bandwidth_gb_s,useful_gflop_s,trace_dispatches,trace_minimum_ms,trace_median_ms,trace_mean_ms,trace_file
hip,v0,1048576,4096,256,1,2.180393,2.181375,2.18717,True,3,2.181354,2.181394,0.24999952316329654,1.9227817317059195,0.48069451607357744,11,2.166608,2.166768,2.1670285,profiles/hip-v0_kernel_trace.csv
hip,v1,1048576,4096,256,1,0.279004,0.279205,0.279229,True,3,0.279205,0.279205,0.24999952316329654,15.022324098780466,3.755573861499615,11,0.273126,0.273247,0.2732587,profiles/hip-v1_kernel_trace.csv
hip,v2,1048576,256,256,1,0.028361,0.02854,0.028556,True,3,0.028521,0.02856,0.24999952316329654,146.9624386825508,36.74053959355291,11,0.02324,0.029821,0.0280124,profiles/hip-v2_kernel_trace.csv
hip,v3,1048576,256,256,1,0.02808,0.02824,0.02826,True,3,0.028161,0.02826,0.24999952316329654,148.52365439093484,37.13084277620396,11,0.02024,0.02034,0.020372,profiles/hip-v3_kernel_trace.csv
hip,v4,1048576,256,256,2,0.02336,0.02376,0.023791,True,3,0.023721,0.023801,0.24999952316329654,176.52811447811447,44.13194444444444,22,0.020201,0.020740500000000002,0.020760400000000002,profiles/hip-v4_kernel_trace.csv
triton,atomic,1048576,,1024,1,0.076921,0.078081,0.077923,True,3,0.077721,0.078141,0.24999952316329654,53.71739603744829,13.429323394936027,11,0.071121,0.0711415,0.0888818,profiles/triton-atomic_kernel_trace.csv
triton,multistage,1048576,,1024,2,0.015041,0.02184,0.022199,True,3,0.01728,0.02238,0.24999952316329654,192.0470695970696,48.011675824175825,22,0.01192,0.019459999999999998,0.0206084,profiles/triton-multistage_kernel_trace.csv
